type	name	time	size	kind
Seq	Numba	2.786089801000344	270000000	Seq Numba
Seq Fastmath	Numba	2.5841187200021523	270000000	Seq Fastmath Numba
Parallel	Numba	0.48761431900129537	270000000	Parallel Numba
Parallel Fastmath	Numba	0.4001294270019571	270000000	Parallel Fastmath Numba
MP	Numba	2.7978606450014922	270000000	MP Numba
MP Fastmath	Numba	2.6187207350012613	270000000	MP Fastmath Numba
Seq	Cython		270000000	Seq Cython
Seq Native	Cython	6.220821030998195	270000000	Seq Native Cython
MP	Cython		270000000	MP Cython
MP Native	Cython	0.8676935500006948	270000000	MP Native Cython
Seq	Python		280000000	Seq Python
MP	Python		280000000	MP Python
Seq	Numba	2.893898745001934	280000000	Seq Numba
Seq Fastmath	Numba	2.702173900001071	280000000	Seq Fastmath Numba
Parallel	Numba	0.46383794699795544	280000000	Parallel Numba
Parallel Fastmath	Numba	0.4021537860026001	280000000	Parallel Fastmath Numba
MP	Numba	2.9287994469996192	280000000	MP Numba
MP Fastmath	Numba	2.679854986999999	280000000	MP Fastmath Numba
Seq	Cython		280000000	Seq Cython
Seq Native	Cython	6.448899729999539	280000000	Seq Native Cython
MP	Cython		280000000	MP Cython
MP Native	Cython	1.0085389949999808	280000000	MP Native Cython
Seq	Python		290000000	Seq Python
MP	Python		290000000	MP Python
Seq	Numba	3.0631811290004407	290000000	Seq Numba
Seq Fastmath	Numba	2.8728617029992165	290000000	Seq Fastmath Numba
Parallel	Numba	0.5057597020022513	290000000	Parallel Numba
Parallel Fastmath	Numba	0.4176051920003374	290000000	Parallel Fastmath Numba
MP	Numba	3.0010030519988504	290000000	MP Numba
MP Fastmath	Numba	2.9343175689973577	290000000	MP Fastmath Numba
Seq	Cython		290000000	Seq Cython
Seq Native	Cython	6.697086479001882	290000000	Seq Native Cython
MP	Cython		290000000	MP Cython
MP Native	Cython	1.132989591002115	290000000	MP Native Cython
